27b - Taxa de letalidade de dengue 
Tx Letalidade Dengue por Município e Ano
Período:2012-2016
"Município";"2012";"2013";"2014";"2015";"2016";"Total"
"352215 Itaóca";...;...;...;...;...;...
"352220 Itapecerica da Serra";0,00;0,00;0,00;0,06;0,00;0,06
"352230 Itapetininga";...;0,00;0,00;0,21;0,00;0,19
"352240 Itapeva";0,00;0,00;0,00;0,00;0,00;0,00
"352250 Itapevi";0,00;0,00;0,00;0,23;0,00;0,18
"352260 Itapira";0,00;0,00;0,00;0,16;0,00;0,13
"352265 Itapirapuã Paulista";...;...;...;0,00;...;0,00
"352270 Itápolis";0,00;0,00;0,00;0,12;0,10;0,08
"352280 Itaporanga";...;...;0,00;0,00;0,00;0,00
"352290 Itapuí";...;0,00;0,00;0,00;0,00;0,00
"352300 Itapura";0,00;0,00;0,00;0,00;0,00;0,00
"352310 Itaquaquecetuba";0,00;0,00;0,00;0,00;0,00;0,00
"352320 Itararé";...;0,00;0,00;0,00;0,00;0,00
"352330 Itariri";0,00;0,00;0,00;0,00;...;0,00
"352340 Itatiba";0,00;0,00;0,00;0,00;0,00;0,00
"352350 Itatinga";...;...;0,00;0,00;0,00;0,00
"352360 Itirapina";...;0,00;0,00;0,59;0,00;0,55
"352370 Itirapuã";...;0,00;...;0,00;0,00;0,00
"352380 Itobi";...;0,00;0,00;0,00;0,00;0,00
"352390 Itu";0,00;0,17;0,00;0,00;0,00;0,02
"352400 Itupeva";...;0,00;0,00;0,00;0,00;0,00
"352410 Ituverava";0,00;0,00;0,00;0,00;0,00;0,00
"352420 Jaborandi";...;0,00;0,00;0,00;0,00;0,00
"352430 Jaboticabal";0,00;0,00;0,00;0,00;0,00;0,00
"352440 Jacareí";0,00;0,00;0,00;0,10;0,00;0,09
"352450 Jaci";...;0,00;0,00;0,00;0,00;0,00
"352460 Jacupiranga";0,00;0,05;0,00;0,00;0,00;0,05
"352470 Jaguariúna";0,00;0,00;0,00;0,08;0,00;0,06
"352480 Jales";0,00;0,00;0,00;0,00;0,06;0,01
"352490 Jambeiro";...;0,00;0,00;0,00;0,00;0,00
"352500 Jandira";0,00;1,43;0,00;0,15;0,00;0,17
"352510 Jardinópolis";0,00;0,00;0,00;0,00;0,00;0,00
"352520 Jarinu";0,00;0,00;0,00;0,00;0,00;0,00
"352530 Jaú";0,00;0,00;0,18;0,00;0,00;0,15
"352540 Jeriquara";...;0,00;0,00;...;...;0,00
"352550 Joanópolis";...;0,00;0,00;0,00;0,00;0,00
"352560 João Ramalho";...;0,00;0,00;0,00;0,00;0,00
"352570 José Bonifácio";0,00;0,00;0,00;0,51;0,00;0,21
"352580 Júlio Mesquita";...;0,00;0,00;1,00;0,00;0,95
